layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
5;20;0.01145132750439612;1.0;<function selu at 0x7ff04306bb18>;60;He;5.2862577171700176;5.6663304453900505;0.0;0.918025;30;0.916049
2;49;0.04091956964431316;1.0;<function relu at 0x7ff04854a578>;80;Xavier;18.737894024101713;19.405648146945474;0.0;0.753827;10;0.751605
1;73;0.0417876498184738;1;<function tanh at 0x7ff0483d0488>;40;None;7.3012976111708507;7.780324881774896;0.0;0.889383;20;0.892346
3;17;0.026711909585779018;1.0;<function relu at 0x7ff04854a578>;105;Xavier;29.078202113171145;29.056074216323552;0.037037;0.365185;5;0.382716
2;50;0.045158508883108836;1.0;<function elu at 0x7ff048523668>;20;He;30.414601936798991;31.544212494031569;0.0;0.377037;1;0.363951
2;10;0.023383408740230656;1.0;<function softsign at 0x7ff04854ac80>;380;Xavier;5.9235591981637423;6.3046664287355725;0.0;0.884691;350;0.883457
3;31;0.04402629135787133;0.5;<function elu at 0x7ff048523668>;20;Xavier;34.286775736394418;33.964558304951943;0.0;0.461482;1;0.45037
5;19;0.015366685276915612;0.69999999999999996;<function elu at 0x7ff048523668>;50;He;10.465582905165217;9.3607931016960446;0.0;0.840494;25;0.844939
3;31;0.008156890489204661;0.5;<function softsign at 0x7ff04854ac80>;305;Xavier;7.0584469627090929;6.401683972938419;0.883704;0.903704;200;0.904691
1;60;0.010896152099796379;1;<function softsign at 0x7ff04854ac80>;265;None;4.0261301677193204;4.3820030718970893;0.0;0.936543;160;0.93605
1;57;0.04405477094853538;1;<function elu at 0x7ff048523668>;25;None;31.401195130627805;31.018399975204964;0.0;0.381975;5;0.381235
1;81;0.0217290636276413;1;<function elu at 0x7ff048523668>;40;None;7.151718761082277;7.1683226678524008;0.0;0.881729;20;0.884692
2;50;0.02566684480706051;0.69999999999999996;<function elu at 0x7ff048523668>;35;He;9.9684611628164603;8.9647653189017884;0.0;0.856543;10;0.862469
4;10;0.03351443976812206;1.0;<function tanh at 0x7ff0483d0488>;285;He;8.4463935372446528;7.9881790428143225;0.712346;0.844445;180;0.842716
5;18;0.04936548014119818;1.0;<function elu at 0x7ff048523668>;25;None;22.272781989645996;22.235058021345932;0.0;0.64963;5;0.656296
2;31;0.03841364904866767;0.69999999999999996;<function elu at 0x7ff048523668>;25;None;23.366114538835404;22.923369556378933;0.0;0.72;5;0.72642
