layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
1;30;0.02372905846745857;1;<function tanh at 0x7fb7ee244488>;55;He;3.6219790033384927;3.8575456492715663;0.0;0.93358;30;0.933333
2;48;0.04411433018599677;1.0;<function relu at 0x7fb7ee3be578>;75;None;5.0916909040872476;5.1131981186691853;0.0;0.913087;35;0.915803
4;24;0.04076603587748841;0.69999999999999996;<function softsign at 0x7fb7ee3bec80>;110;He;5.0102166615102695;4.4935558186972155;0.816049;0.913087;55;0.919259
3;29;0.0009117710688625527;0.69999999999999996;<function elu at 0x7fb7ee397668>;240;Xavier;9.9840445795650812;10.917322413000823;0.862716;0.868642;135;0.865185
2;49;0.04995537673022478;0.5;<function elu at 0x7fb7ee397668>;20;He;25.598568204130263;25.37447625301996;0.0;0.379259;1;0.37679
5;19;0.009944736450602445;1.0;<function softsign at 0x7fb7ee3bec80>;355;None;3.9202536863188828;3.1850894808093035;0.841482;0.938025;250;0.942469
1;11;0.005998586699694274;1;<function relu at 0x7fb7ee3be578>;920;None;5.4139990265545483;5.7806260785560513;0.878025;0.903704;815;0.895556
2;18;0.028396572875825678;0.69999999999999996;<function selu at 0x7fb7e8edfb18>;35;He;15.153535218873174;15.984903714955745;0.0;0.797778;10;0.794074
5;18;0.02092204654929287;0.69999999999999996;<function tanh at 0x7fb7ee244488>;250;None;6.0020826543463439;5.938874741578501;0.0;0.902716;160;0.901482
2;42;0.01746053351681732;0.5;<function elu at 0x7fb7ee397668>;40;He;7.4509829402841889;7.4833962427712057;0.0;0.899259;20;0.898766
3;33;0.03228178669802482;0.69999999999999996;<function selu at 0x7fb7e8edfb18>;25;He;12.669530155479947;12.373006791333109;0.0;0.787654;5;0.777531
5;20;0.020278715502648138;0.69999999999999996;<function tanh at 0x7fb7ee244488>;105;None;6.9928436866405601;6.9384912754645889;0.820988;0.894074;50;0.894815
1;37;0.04711279309620604;1;<function softsign at 0x7fb7ee3bec80>;265;Xavier;4.571970159744513;4.4276775637396897;0.0;0.93284;195;0.93358
3;31;0.024403686724415483;1.0;<function relu at 0x7fb7ee3be578>;75;He;27.38738007012763;26.919378693527491;0.0;0.414074;15;0.417037
3;31;0.020577380113709902;0.5;<function selu at 0x7fb7e8edfb18>;25;He;26.225244530671048;25.207179938242941;0.0;0.655309;5;0.654074
3;31;0.03372775316009701;1.0;<function elu at 0x7fb7ee397668>;25;None;23.648108671590037;22.993793189137222;0.0;0.125679;1;0.119012
