layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
4;25;0.038901937040605;0.5;<function elu at 0x7f1cec0a9668>;35;Xavier;20.592326137364847;21.133581284001941;0.0;0.654815;5;0.639259
2;49;0.04125021572130913;0.5;<function tanh at 0x7f1cebf56488>;370;Xavier;4.7395831920137459;4.3719743168180472;0.90642;0.942963;265;0.938272
5;19;0.008465441054958594;0.69999999999999996;<function selu at 0x7f1ce6bf1b18>;80;Xavier;3.4090173330381766;3.1695472182416395;0.0;0.951111;55;0.950864
5;19;0.016367842331721227;0.69999999999999996;<function softsign at 0x7f1cec0d0c80>;190;None;3.7581187833972813;3.1816422059939984;0.821975;0.953333;95;0.953087
2;27;0.00222488240141177;0.69999999999999996;<function relu at 0x7f1cec0d0578>;120;None;32.276601387136473;32.627609322600016;0.565185;0.612099;60;0.594568
2;49;0.018503952435219243;0.69999999999999996;<function relu at 0x7f1cec0d0578>;45;Xavier;30.729126667183131;30.340806648590966;0.0;0.420247;20;0.422469
5;18;0.018943069457989493;0.5;<function selu at 0x7f1ce6bf1b18>;105;Xavier;15.121274722904211;13.316450216363345;0.037037;0.825926;10;0.838519
1;40;0.03511567555675232;1;<function softsign at 0x7f1cec0d0c80>;105;He;4.9889987187020903;4.5542003404264886;0.854815;0.925432;30;0.922222
2;30;0.030775327672003656;0.69999999999999996;<function selu at 0x7f1ce6bf1b18>;20;Xavier;29.754551472561865;29.020865573276087;0.0;0.264444;1;0.277531
3;32;0.010946002583196576;1.0;<function relu at 0x7f1cec0d0578>;70;Xavier;25.144411438961878;25.847594777250308;0.0;0.236296;10;0.240247
3;33;0.026327103502011548;0.5;<function elu at 0x7f1cec0a9668>;30;None;23.429691949920304;21.704532351208748;0.0;0.710124;10;0.716049
5;20;0.041376953052303385;0.69999999999999996;<function tanh at 0x7f1cebf56488>;105;Xavier;24.470493664906662;24.000685861256123;0.13358;0.139012;25;0.137778
5;18;0.007691360869827443;1.0;<function elu at 0x7f1cec0a9668>;160;Xavier;10.987959490837722;9.6968844823125302;0.0;0.845185;140;0.850864
5;19;0.03125116376047579;1.0;<function elu at 0x7f1cec0a9668>;105;None;20.040866646041081;18.96347735927829;0.037037;0.652346;15;0.65605
5;20;0.035373103274528896;0.5;<function elu at 0x7f1cec0a9668>;25;Xavier;23.087700499233911;21.359808674512909;0.0;0.137531;5;0.13037
3;33;0.024414739266006045;0.69999999999999996;<function relu at 0x7f1cec0d0578>;105;None;20.358769611059699;19.518608319266171;0.0;0.138025;50;0.129136
