layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
1;27;0.0009364201449887049;1;<function tanh at 0x7fc010633488>;785;Xavier;3.0507569253229403;3.3649166747505093;0.931852;0.939013;680;0.939506
5;19;0.031626284475407274;1.0;<function softsign at 0x7fc0107adc80>;105;Xavier;4.4296048556225358;4.2372845189458062;0.0;0.926667;20;0.929877
4;24;0.022906010441674698;1.0;<function softsign at 0x7fc0107adc80>;105;None;3.9574015821529218;3.3676333118151573;0.619259;0.945679;45;0.946914
5;20;0.04549474785379551;0.69999999999999996;<function selu at 0x7fc00b2ceb18>;20;Xavier;21.601819880770599;21.052709631731066;0.0;0.749136;1;0.745679
1;84;0.03929472822830827;1;<function relu at 0x7fc0107ad578>;30;Xavier;8.6438093291994225;7.5689383616576489;0.0;0.860247;10;0.864198
5;20;0.0291391592959919;1.0;<function elu at 0x7fc010786668>;40;None;5.6036872482140172;5.4103943495112237;0.0;0.918025;15;0.922469
3;28;0.015636864845836408;0.69999999999999996;<function elu at 0x7fc010786668>;60;Xavier;3.2203059435976531;3.6596557656590436;0.0;0.946667;25;0.944691
1;34;0.034376451805178905;1;<function elu at 0x7fc010786668>;30;He;7.6026932713282411;6.9879596844676453;0.0;0.885679;10;0.889383
2;45;0.01703207881905278;0.69999999999999996;<function selu at 0x7fc00b2ceb18>;40;None;8.130245952808723;7.7668353361292501;0.0;0.901975;15;0.902963
4;24;0.031473103744796026;0.69999999999999996;<function elu at 0x7fc010786668>;25;None;12.739783675413285;12.621752729922601;0.0;0.846173;5;0.848889
1;33;0.025864180140870177;1;<function elu at 0x7fc010786668>;50;He;4.7186987581134758;5.1616160395967601;0.0;0.92963;25;0.923951
1;85;0.02547807008108026;1;<function tanh at 0x7fc010633488>;105;He;6.3865236869634874;6.8245591454203129;0.0;0.907161;15;0.899013
2;29;0.004395096041872258;0.5;<function softsign at 0x7fc0107adc80>;105;None;32.509996352288148;32.069616394441532;0.48642;0.554815;30;0.546914
3;18;0.00014544829348457975;0.69999999999999996;<function selu at 0x7fc00b2ceb18>;920;He;8.7551670027214126;8.1184644496712632;0.857778;0.862963;815;0.868889
