layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
4;24;0.04337781458935949;1.0;<function elu at 0x7fd02a711668>;20;He;23.983558865804966;23.81481161479412;0.0;0.614568;1;0.605432
2;49;0.017590278406241368;0.69999999999999996;<function tanh at 0x7fd02a5be488>;45;Xavier;5.0827027051165699;4.2398735792824667;0.0;0.940988;15;0.938766
5;20;0.01227661677168844;0.5;<function selu at 0x7fd025259b18>;55;Xavier;4.8596205827723624;5.8829718960337507;0.0;0.932593;35;0.922716
1;27;0.04783943110883829;1;<function tanh at 0x7fd02a5be488>;105;Xavier;6.2261402518417723;6.0042153560953819;0.863704;0.90642;15;0.898766
4;23;0.025292938617679138;0.69999999999999996;<function selu at 0x7fd025259b18>;25;Xavier;27.79110791264619;27.846882491624847;0.0;0.537778;1;0.549383
3;33;0.010518708569810038;0.69999999999999996;<function tanh at 0x7fd02a5be488>;180;He;3.1548947317106451;3.213103790749142;0.960741;0.962963;90;0.961729
2;39;0.014993606577770038;0.5;<function relu at 0x7fd02a738578>;50;None;23.300741494291838;23.316748956340465;0.0;0.71037;25;0.702222
4;25;0.029574672929453136;0.69999999999999996;<function elu at 0x7fd02a711668>;35;None;8.1629495193812804;7.7618885318102135;0.0;0.902222;5;0.897778
4;25;0.03476531197318957;0.5;<function tanh at 0x7fd02a5be488>;30;Xavier;7.1396888045758011;7.5549100022772455;0.0;0.903457;5;0.899012
2;49;0.026427292812837417;0.69999999999999996;<function softsign at 0x7fd02a738c80>;35;He;5.2501515063673168;4.9522025724468284;0.0;0.922716;10;0.926173
2;50;0.03129864785232133;1.0;<function softsign at 0x7fd02a738c80>;180;Xavier;3.6052764935197974;3.5459403597069126;0.0;0.948642;140;0.946173
1;34;0.029810959880888388;1;<function softsign at 0x7fd02a738c80>;105;He;3.8334476434716742;3.4032896930241052;0.894074;0.949877;30;0.948642
5;19;0.027763224320149486;1.0;<function elu at 0x7fd02a711668>;30;None;8.2658170278893763;8.9033490065816263;0.0;0.88963;5;0.888642
3;15;0.008336713325666333;0.69999999999999996;<function selu at 0x7fd025259b18>;105;None;5.0229772305980882;4.4119525618157143;0.0;0.936543;80;0.93605
4;23;0.03390279933277342;1.0;<function softsign at 0x7fd02a738c80>;105;He;5.4563990698378966;4.9921749468131109;0.0;0.925185;10;0.924445
5;20;0.010337471619152726;0.69999999999999996;<function relu at 0x7fd02a738578>;95;None;26.234379084287838;25.553825909141789;0.0;0.149877;1;0.148642
