layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
1;24;0.0432756165889014;1;<function selu at 0x7ff75e9a5b18>;25;None;11.036677984603562;10.110922683241014;0.0;0.827161;5;0.830617
3;32;0.01822868514669041;1.0;<function softsign at 0x7ff763e84c80>;160;He;4.8582403829947021;5.4403977010189477;0.0;0.926173;80;0.921235
4;24;0.04525758867484416;0.5;<function selu at 0x7ff75e9a5b18>;20;Xavier;13.768526474989468;13.492059342254784;0.0;0.802716;1;0.808148
3;32;0.041959642388525405;0.5;<function softsign at 0x7ff763e84c80>;30;None;6.5686437898257379;6.8122199389681679;0.0;0.895062;5;0.891605
1;50;0.04724258332775324;1;<function tanh at 0x7ff763d0a488>;25;Xavier;11.297692688434418;12.195031482818774;0.0;0.848889;5;0.845185
1;91;0.004311777949439195;1;<function tanh at 0x7ff763d0a488>;345;He;4.612990675815011;4.3596856206110113;0.605185;0.936543;240;0.92963
2;48;0.0345272921180375;0.5;<function elu at 0x7ff763e5d668>;25;He;9.3343784116708282;9.6711356208839749;0.0;0.871605;5;0.871111
2;48;0.019105192436336123;0.69999999999999996;<function selu at 0x7ff75e9a5b18>;30;None;6.5864400013573308;6.4989417965486949;0.0;0.907654;10;0.91284
5;20;0.02572361120763273;0.5;<function relu at 0x7ff763e84578>;25;He;19.889712683432041;20.12547138291157;0.0;0.0632099;1;0.0661728
2;49;0.0019072626570367775;0.69999999999999996;<function relu at 0x7ff763e84578>;130;None;17.871597433297985;18.71070642652019;0.584198;0.701728;65;0.688889
1;15;0.003135081083889364;1;<function softsign at 0x7ff763e84c80>;1000;Xavier;6.2434480212968033;6.5629796839516112;0.883951;0.885432;970;0.882963
2;49;0.01270699842429315;0.5;<function relu at 0x7ff763e84578>;70;None;32.800701105142153;32.07326622501202;0.0;0.258765;20;0.248395
4;25;0.04830722658091215;0.69999999999999996;<function tanh at 0x7ff763d0a488>;110;He;24.399984508554102;24.220095299327159;0.265185;0.294568;55;0.296543
4;24;0.036595876254948055;0.5;<function tanh at 0x7ff763d0a488>;105;None;25.680982830380113;25.423707113674833;0.128148;0.139012;10;0.139259
3;31;0.019633158174915233;1.0;<function relu at 0x7ff763e84578>;85;Xavier;17.154186601813031;17.987582297321424;0.0;0.205926;30;0.219506
5;20;0.04444878039404897;0.69999999999999996;<function elu at 0x7ff763e5d668>;30;None;24.327216097874874;23.763119977314457;0.0;0.137037;5;0.131852
