layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
1;19;0.04143529361742544;1;<function selu at 0x7f7abe2a7b18>;25;Xavier;9.5094751358925436;8.6034414271019912;0.0;0.848642;5;0.84963
4;24;0.019718495547808343;0.69999999999999996;<function selu at 0x7f7abe2a7b18>;40;Xavier;5.8146968612712193;6.0023873724187329;0.0;0.922222;10;0.92321
1;13;0.029892859943085187;1;<function softsign at 0x7f7ac3786c80>;335;None;4.6709106053583911;4.6907082071074244;0.920494;0.932346;230;0.925926
5;18;0.026830280561911165;0.5;<function softsign at 0x7f7ac3786c80>;105;He;4.1468251858602683;4.6092886477345303;0.929136;0.934074;40;0.930371
4;20;0.03398167180801399;0.5;<function elu at 0x7f7ac375f668>;25;Xavier;12.155272426692406;12.695872761853957;0.0;0.853827;5;0.846667
