layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
3;32;0.018040345056896622;0.5;<function tanh at 0x7f84cbcba488>;105;Xavier;3.6631524914870566;3.5018230712638232;0.877778;0.948395;25;0.94642
5;19;0.01108397822832226;1.0;<function elu at 0x7f84cbe0d668>;130;None;3.5832256659104664;3.5136418446315325;0.0;0.957778;65;0.953333
2;39;0.03326405848047051;0.5;<function tanh at 0x7f84cbcba488>;435;He;5.7788328676822607;5.8692765529485511;0.930864;0.936543;330;0.923457
5;11;0.02449086197375084;1.0;<function relu at 0x7f84cbe34578>;30;None;32.658985874174398;32.112114982813111;0.0;0.316049;5;0.314815
2;39;0.042130039336592394;0.69999999999999996;<function relu at 0x7f84cbe34578>;60;He;25.318047032960035;25.255626496188576;0.0;0.626914;15;0.621728
5;19;0.03830084753738081;0.5;<function tanh at 0x7f84cbcba488>;190;Xavier;18.342870695444436;19.54510881956098;0.12963;0.722222;95;0.718272
5;20;0.0034067074562816385;1.0;<function elu at 0x7f84cbe0d668>;295;Xavier;11.676062582622537;11.963262364228521;0.0;0.872099;255;0.869383
1;73;0.02765615017780353;1;<function relu at 0x7f84cbe34578>;45;He;24.857735744993583;24.569601033076506;0.0;0.400494;25;0.39037
1;58;0.042409571977758506;1;<function elu at 0x7f84cbe0d668>;20;He;24.977356000129433;24.21871081128738;0.0;0.128889;1;0.125926
3;31;0.04633638033521626;0.69999999999999996;<function relu at 0x7f84cbe34578>;330;None;17.914528907672786;17.935548211609476;0.12642;0.683951;225;0.670864
1;87;0.018410390977714266;1;<function elu at 0x7f84cbe0d668>;60;He;17.116116347029781;16.106451244179961;0.0;0.752346;35;0.764691
3;31;0.04916077019700852;0.5;<function selu at 0x7f84c6955b18>;35;He;20.420484558531985;20.275860066787544;0.0;0.129383;5;0.12642
5;19;0.04386923931255009;0.69999999999999996;<function selu at 0x7f84c6955b18>;25;He;25.155126094818378;24.45389516771607;0.0;0.120988;5;0.121235
3;33;0.03425266835896647;1.0;<function softsign at 0x7f84cbe34c80>;105;Xavier;19.750709733562079;18.790334354196808;0.695556;0.711111;50;0.720988
2;39;0.037326524061101055;1.0;<function elu at 0x7f84cbe0d668>;20;None;23.717228651730316;22.698060510143055;0.0;0.129136;1;0.122716
2;41;0.03229948675028872;0.69999999999999996;<function relu at 0x7f84cbe34578>;155;Xavier;22.97994858315878;22.168357214191115;0.0;0.27679;135;0.283457
