layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
4;23;0.02640683837745428;0.5;<function tanh at 0x7fad3c83d488>;105;He;5.4839278269241447;5.615425007832866;0.52321;0.919753;10;0.921975
3;33;0.019123591472867883;1.0;<function softsign at 0x7fad3c9b7c80>;105;He;3.351300457113402;3.485069510856813;0.919506;0.950864;30;0.95284
5;18;0.03757438172889726;0.5;<function softsign at 0x7fad3c9b7c80>;105;None;6.3845186937919891;5.8850441677159129;0.752346;0.909136;20;0.904445
2;49;0.038218946273249836;1.0;<function tanh at 0x7fad3c83d488>;30;Xavier;15.243469396565132;14.908387616982951;0.0;0.832099;5;0.829136
4;23;0.005193227336302367;0.69999999999999996;<function relu at 0x7fad3c9b7578>;105;He;21.257696276121742;21.857612409428825;0.405926;0.684198;30;0.675309
4;24;0.014056416344078147;0.69999999999999996;<function selu at 0x7fad374d8b18>;55;None;3.843453966621373;3.6880326902318621;0.0;0.940988;20;0.944198
2;50;0.04858592453888558;1.0;<function tanh at 0x7fad3c83d488>;20;Xavier;10.561437968169608;11.613550783657981;0.0;0.829136;1;0.835309
5;19;0.03740250666988936;0.69999999999999996;<function softsign at 0x7fad3c9b7c80>;45;Xavier;6.6188500081641513;7.6773051970833643;0.0;0.900988;15;0.900741
1;70;0.00014721907861417618;1;<function tanh at 0x7fad3c83d488>;990;Xavier;3.5818642579335482;3.3632856392394279;0.930864;0.934321;885;0.931605
3;31;0.010169007300499548;0.69999999999999996;<function relu at 0x7fad3c9b7578>;30;He;32.815084207758204;32.708678414938781;0.0;0.347654;5;0.340494
5;20;0.009814827827975497;0.5;<function elu at 0x7fad3c990668>;105;He;4.6152368869467306;5.2511965090549468;0.0;0.94;75;0.938272
2;48;0.01881568042217115;1.0;<function tanh at 0x7fad3c83d488>;105;He;4.0855058468556065;4.5823595008168443;0.707161;0.94;25;0.935309
5;20;0.007847327308019134;0.69999999999999996;<function softsign at 0x7fad3c9b7c80>;475;None;3.7441413870757692;3.3952188515830315;0.910371;0.958025;370;0.957531
3;32;0.0004180751180466148;0.5;<function softsign at 0x7fad3c9b7c80>;105;None;22.461917169023955;22.724206801557347;0.262963;0.285185;25;0.283704
1;12;0.04502316750920201;1;<function tanh at 0x7fad3c83d488>;200;He;5.055280445943243;5.2288578220149686;0.887408;0.903951;100;0.900247
1;93;0.04277679923598139;1;<function softsign at 0x7fad3c9b7c80>;105;He;8.1757109572846609;7.4860842297528976;0.621235;0.882963;10;0.890617
