layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
1;57;0.04773318836045043;1;<function tanh at 0x7f2dfffe0488>;25;None;16.670452244979025;17.152907107024809;0.0;0.774074;1;0.775556
2;46;0.04920332606453659;0.69999999999999996;<function softsign at 0x7f2e0015ac80>;30;None;6.2387591339279185;7.1930295307477232;0.0;0.896049;5;0.891605
5;19;0.04003967232468477;0.69999999999999996;<function selu at 0x7f2dfac7bb18>;30;Xavier;22.693037189848845;21.769573774556655;0.0;0.730371;1;0.744198
1;31;0.03229515355419305;1;<function elu at 0x7f2e00133668>;40;Xavier;5.6895232842436751;6.8771527092078131;0.0;0.897284;15;0.895062
5;18;0.011331580731214853;0.69999999999999996;<function selu at 0x7f2dfac7bb18>;70;None;4.8109512830762382;5.2640678185672938;0.0;0.925432;35;0.920988
3;32;0.0035476951970780965;1.0;<function elu at 0x7f2e00133668>;350;None;3.802308798928379;4.2626753164566056;0.926667;0.937531;245;0.933827
3;33;0.03891208311935492;1.0;<function softsign at 0x7f2e0015ac80>;30;He;6.2146730610633192;6.2906292579443397;0.0;0.909136;10;0.906667
1;90;0.008639704436996892;1;<function softsign at 0x7f2e0015ac80>;150;Xavier;4.1666255142000699;4.4090497337800461;0.918519;0.936296;75;0.93358
5;19;0.026320079576062694;1.0;<function elu at 0x7f2e00133668>;55;He;7.0972945336017004;7.3799491078204049;0.0;0.898766;10;0.896296
1;37;0.011594835863189542;1;<function elu at 0x7f2e00133668>;120;None;4.2603863243106392;4.6306665505445279;0.0;0.927408;95;0.921482
2;50;0.014309393715424645;0.5;<function selu at 0x7f2dfac7bb18>;30;None;6.9591093442635916;6.7872047599125604;0.0;0.901235;10;0.897284
1;97;0.023260978666406994;1;<function selu at 0x7f2dfac7bb18>;20;Xavier;20.28142196241571;19.852343216079785;0.0;0.763704;1;0.769383
1;41;0.016974657896745356;1;<function elu at 0x7f2e00133668>;75;He;5.3853204708441487;5.6203085060425328;0.0;0.920494;50;0.91358
5;18;0.037233240425655775;0.69999999999999996;<function elu at 0x7f2e00133668>;25;Xavier;8.4069632412902493;8.7306910211304114;0.0;0.878025;5;0.879259
4;24;0.008010019856862139;0.5;<function tanh at 0x7f2dfffe0488>;220;He;4.5866149867889545;4.845423442187009;0.785185;0.931111;115;0.930864
1;83;0.02280192000896509;1;<function elu at 0x7f2e00133668>;25;He;5.7872666621109961;6.4823162307848694;0.0;0.902963;5;0.89679
