layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
5;20;0.03561708474578337;1.0;<function elu at 0x7f73107c4668>;25;None;7.3609241118158266;8.3095866503851514;0.0;0.888642;5;0.88321
3;32;0.04385871306531308;1.0;<function relu at 0x7f73107eb578>;30;None;33.087654297955524;32.780769899004319;0.0;0.501482;1;0.487407
2;37;0.025643022881324584;0.5;<function tanh at 0x7f7310671488>;60;Xavier;6.2111404354036832;6.2836474253180707;0.0;0.908642;15;0.90963
3;31;0.03724427670998148;0.69999999999999996;<function tanh at 0x7f7310671488>;105;He;5.9715323236957483;6.4088226035319567;0.861729;0.897531;20;0.901729
3;32;0.017129819815242534;1.0;<function relu at 0x7f73107eb578>;60;None;29.731491574101195;28.895683489239676;0.0;0.491852;5;0.486173
4;24;0.028377528114629385;0.69999999999999996;<function relu at 0x7f73107eb578>;50;He;25.55146385804203;26.372335433326629;0.0;0.222469;10;0.231358
4;23;0.024788941636434456;0.69999999999999996;<function selu at 0x7f730b30cb18>;25;He;30.445796131118218;30.657321492149428;0.0;0.36;5;0.348395
2;49;0.01052635129416179;0.69999999999999996;<function selu at 0x7f730b30cb18>;70;He;5.7616108096681655;5.2681198182798648;0.0;0.905185;50;0.911111
3;25;0.014254046186791549;0.69999999999999996;<function softsign at 0x7f73107ebc80>;235;None;6.4202279026687963;6.4465726583806156;0.0;0.901235;165;0.905185
5;20;0.020015473985677573;0.5;<function softsign at 0x7f73107ebc80>;140;Xavier;8.4314389778561161;9.2109025344513178;0.675556;0.860741;70;0.858766
3;31;0.04051170861744284;1.0;<function tanh at 0x7f7310671488>;370;None;7.9730532299904358;8.5400693578265727;0.80321;0.833827;265;0.830371
5;18;0.023504653137652577;0.69999999999999996;<function tanh at 0x7f7310671488>;190;None;27.460964244398433;26.595125800684123;0.0;0.620494;165;0.617284
4;23;0.008379454756507613;0.5;<function relu at 0x7f73107eb578>;260;He;17.622781116104175;19.346651988106629;0.0;0.143704;240;0.144198
3;31;0.04219032657241468;0.5;<function tanh at 0x7f7310671488>;130;He;20.459200257377312;19.401186449938955;0.12642;0.138519;65;0.13037
4;25;0.04512562418666183;0.69999999999999996;<function relu at 0x7f73107eb578>;25;Xavier;24.688222023073472;23.284199362404085;0.0;0.131358;5;0.12716
1;38;0.018262955588154633;1;<function selu at 0x7f730b30cb18>;70;Xavier;25.461184374845018;25.551678598983038;0.0;0.616049;50;0.619753
