layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
2;50;0.011001580573556735;0.5;<function tanh at 0x7fcbce637488>;100;He;4.7658798484720144;4.6615034471778101;0.0;0.93284;60;0.932099
1;16;0.0022542816498967726;1;<function elu at 0x7fcbce78a668>;795;Xavier;5.5929059950885893;5.5461649029140387;0.898519;0.902469;690;0.894074
2;50;0.022131905908763596;0.69999999999999996;<function selu at 0x7fcbc92d2b18>;25;He;8.5647341782434765;8.2574782630132653;0.0;0.882469;5;0.882469
2;49;0.008598916324379877;0.69999999999999996;<function softsign at 0x7fcbce7b1c80>;250;He;4.2943091757648721;4.6736507931183571;0.786667;0.935803;145;0.933087
2;48;0.014327519967663967;0.5;<function relu at 0x7fcbce7b1578>;85;None;10.53664467291499;10.296029839344623;0.0;0.823951;50;0.826667
4;25;0.006041382854010765;0.5;<function elu at 0x7fcbce78a668>;175;None;4.9676901508796902;5.0371580716516187;0.0;0.928395;125;0.925679
4;17;0.006427050549174732;0.5;<function elu at 0x7fcbce78a668>;275;Xavier;5.0901340866991065;5.443758530181003;0.0;0.917778;250;0.915803
3;32;0.027653943704752333;1.0;<function softsign at 0x7fcbce7b1c80>;55;Xavier;5.2560704411417039;5.1342590273371203;0.0;0.915803;30;0.920988
1;57;0.03840583852620495;1;<function softsign at 0x7fcbce7b1c80>;40;Xavier;6.1298254416525033;6.8669503317492078;0.0;0.90963;15;0.902963
4;25;0.024622369830899205;0.69999999999999996;<function tanh at 0x7fcbce637488>;105;Xavier;6.0668430309461545;6.5227259148892784;0.848395;0.9;15;0.899259
5;19;0.030368569852962414;0.69999999999999996;<function relu at 0x7fcbce7b1578>;85;None;23.580932056493211;23.607469258390569;0.0;0.181481;10;0.18321
2;30;0.01396982790301961;0.69999999999999996;<function selu at 0x7fcbc92d2b18>;70;None;6.3565742082740542;6.7977062037629983;0.0;0.899259;40;0.898272
5;20;0.014573400684301095;0.69999999999999996;<function softsign at 0x7fcbce7b1c80>;150;He;12.087977049448586;12.807367183327409;0.537037;0.830124;75;0.830124
4;23;0.01744414453487138;0.69999999999999996;<function softsign at 0x7fcbce7b1c80>;195;He;6.1054094863644988;6.6467007835619709;0.0;0.903951;115;0.900494
4;23;0.004049924702948002;0.5;<function selu at 0x7fcbc92d2b18>;185;He;4.6759982474136548;4.842780449424593;0.0;0.924198;160;0.929877
2;49;0.01181126290939061;0.69999999999999996;<function softsign at 0x7fcbce7b1c80>;240;He;5.3528449674487906;5.1481333451544291;0.0;0.921482;135;0.921235
