layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
5;19;0.041268397860160226;0.69999999999999996;<function elu at 0x7f37af11d668>;20;Xavier;30.594794607824301;30.792449940322005;0.0;0.509383;1;0.501975
4;23;0.042053481770851664;0.69999999999999996;<function selu at 0x7f37a9c65b18>;20;He;24.945360195337141;25.089141487427021;0.0;0.233086;1;0.226667
4;22;0.021097574333987047;0.69999999999999996;<function tanh at 0x7f37aefca488>;105;He;3.9958826545959032;4.0618597299491599;0.92321;0.951111;30;0.944198
5;19;0.04057476341044367;1.0;<function softsign at 0x7f37af144c80>;105;None;4.8222165329658644;4.8480649940839049;0.857037;0.927408;25;0.926173
