layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
5;20;0.02832130429532372;0.69999999999999996;<function relu at 0x7fdec094b578>;45;Xavier;21.00466993604244;20.683902130556532;0.0;0.112593;1;0.117531
4;24;0.008135309849926506;0.69999999999999996;<function selu at 0x7fdebb46cb18>;115;None;3.215948672625172;3.6007078170863607;0.0;0.950864;80;0.944691
5;19;0.0116212322717753;0.69999999999999996;<function tanh at 0x7fdec07d1488>;380;None;3.2734446260101824;3.1666606502481787;0.877531;0.95358;275;0.955062
5;20;0.04875361014323212;0.5;<function relu at 0x7fdec094b578>;230;Xavier;18.885257457751056;18.885257457751056;0.037037;0.037037;125;0.037037
2;48;0.005117343675440469;0.69999999999999996;<function softsign at 0x7fdec094bc80>;625;He;2.9514178365400356;2.9039388499731666;0.950617;0.958272;520;0.957531
2;21;0.027082637339695455;1.0;<function tanh at 0x7fdec07d1488>;140;Xavier;5.6643934222963788;5.0909724321421699;0.890124;0.915062;70;0.91605
3;13;0.008887235718397883;0.5;<function tanh at 0x7fdec07d1488>;105;None;31.390806234459525;30.847205198965845;0.322469;0.348889;35;0.340741
1;35;0.001071743604394883;1;<function selu at 0x7fdebb46cb18>;845;Xavier;3.5629210404521845;3.6840631499047216;0.937778;0.938272;740;0.937284
3;33;0.02247925745090318;0.69999999999999996;<function softsign at 0x7fdec094bc80>;105;None;4.9987652796453297;5.6017285637557128;0.865185;0.928889;45;0.922469
4;24;0.03624647653706295;0.69999999999999996;<function relu at 0x7fdec094b578>;25;Xavier;22.885892168684464;23.140005152101033;0.0;0.13037;5;0.135062
3;31;0.034484839635311765;0.69999999999999996;<function relu at 0x7fdec094b578>;150;Xavier;22.675971085826983;22.687959014088634;0.131605;0.141975;75;0.142963
3;31;0.015116888833432512;0.5;<function tanh at 0x7fdec07d1488>;170;None;8.2519390321288153;8.5981959876320246;0.416049;0.863457;85;0.861729
