layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
1;65;0.004095635984135114;1;<function elu at 0x7f76b1a54668>;305;Xavier;2.7337247536660652;3.0005842036470733;0.0;0.957778;255;0.95358
5;20;0.0038689780948197913;0.5;<function tanh at 0x7f76b1901488>;585;None;33.478549709581387;32.987524949846112;0.630864;0.634321;480;0.630123
1;86;0.02922830660698187;1;<function tanh at 0x7f76b1901488>;375;Xavier;4.1069381557419593;4.2497836985580566;0.929136;0.934815;270;0.938272
5;20;0.03994598424660461;0.69999999999999996;<function selu at 0x7f76ac59cb18>;20;None;21.907677869683564;21.69750891241009;0.0;0.710124;1;0.72
5;20;0.006240823313757123;0.69999999999999996;<function selu at 0x7f76ac59cb18>;130;He;3.0965758827833851;3.353482767171315;0.0;0.95605;95;0.955062
3;27;0.02304941984511895;0.69999999999999996;<function tanh at 0x7f76b1901488>;40;None;6.1965962602561113;5.1053226600770714;0.0;0.927408;15;0.932346
1;27;0.04853235743547686;1;<function relu at 0x7f76b1a7b578>;40;He;9.8603571071305627;9.7530551648194308;0.0;0.862716;20;0.858519
5;19;0.010381944370288484;0.5;<function selu at 0x7f76ac59cb18>;65;None;4.3953391506284705;4.6386907213120576;0.0;0.941975;40;0.935062
3;33;0.030896077493847623;0.69999999999999996;<function softsign at 0x7f76b1a7bc80>;240;None;3.6243347622889086;4.353948361126017;0.926667;0.94;135;0.938025
1;57;0.003545504839003043;1;<function tanh at 0x7f76b1901488>;260;None;3.4787661243470041;3.4640136167225011;0.948642;0.951605;155;0.94642
2;48;0.013788062684924735;0.5;<function relu at 0x7f76b1a7b578>;75;None;32.940973846620338;33.318972672460639;0.0;0.417531;30;0.426173
1;27;0.04603039469739671;1;<function selu at 0x7f76ac59cb18>;20;Xavier;34.043589870616884;34.334289988048198;0.0;0.391605;1;0.39679
4;24;0.01716892847881228;1.0;<function tanh at 0x7f76b1901488>;105;Xavier;5.772816272170715;5.2623302921465065;0.0;0.922716;50;0.922469
3;31;0.04552765421169153;0.5;<function relu at 0x7f76b1a7b578>;55;Xavier;25.460394183932411;24.562031682991556;0.0;0.172099;10;0.172099
2;50;0.00522839382275881;0.69999999999999996;<function tanh at 0x7f76b1901488>;565;He;2.8803291992923823;2.7319400466022175;0.884198;0.951111;460;0.947654
5;19;0.004439739648429692;0.69999999999999996;<function elu at 0x7f76b1a54668>;120;He;25.041809270759906;24.616479053671497;0.516296;0.65284;60;0.649877
