layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
2;49;0.037333825902920406;1.0;<function selu at 0x7f4b3033bb18>;15;He;18.885257457751059;18.885257457751059;0.0;0.0;15;0.0
2;49;0.03776224633374629;0.69999999999999996;<function softsign at 0x7f4b3581ac80>;150;None;4.9899762349923824;4.9303640392488637;0.766667;0.928148;75;0.92321
3;33;0.04437754027527038;1.0;<function tanh at 0x7f4b356a0488>;210;He;5.76044673029278;5.0204277114943601;0.852099;0.906173;105;0.908395
5;18;0.004267303220306402;0.5;<function tanh at 0x7f4b356a0488>;840;Xavier;2.5872961772700709;2.4066158876071495;0.958519;0.963704;735;0.967161
4;25;0.030212895932083164;0.69999999999999996;<function tanh at 0x7f4b356a0488>;105;None;5.5963931163034388;4.8676430737191536;0.491111;0.918519;10;0.914321
3;32;0.028103017097266023;0.69999999999999996;<function selu at 0x7f4b3033bb18>;20;None;28.965604586257154;28.756094494624133;0.0;0.588642;1;0.599753
3;32;0.010248942254213248;0.69999999999999996;<function elu at 0x7f4b357f3668>;75;He;3.313981319216853;2.7579263220628536;0.0;0.958272;50;0.958766
