layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
5;20;0.01682180309446089;1.0;<function softsign at 0x7ff5f5c90c80>;210;None;4.3782449807446753;4.3753197893010736;0.763704;0.950617;105;0.946914
4;25;0.018719094184352622;1.0;<function relu at 0x7ff5f5c90578>;80;None;5.8466925216803309;6.0261079087557254;0.0;0.910371;50;0.905432
4;23;0.031675769668300505;0.5;<function elu at 0x7ff5f5c69668>;25;None;7.437715772480721;7.7146961776368697;0.0;0.907408;5;0.911358
4;23;0.0069796709110749415;0.69999999999999996;<function elu at 0x7ff5f5c69668>;160;Xavier;3.0297010667018203;2.8447616421218362;0.0;0.968642;115;0.964692
1;46;0.017260549747778502;1;<function softsign at 0x7ff5f5c90c80>;120;Xavier;3.3007091191014348;3.0307070437746351;0.952099;0.959506;60;0.96
2;45;0.013152573885172335;0.69999999999999996;<function selu at 0x7ff5f07b1b18>;40;He;3.6999157584217737;3.4687623365601845;0.0;0.948642;15;0.95358
5;19;0.002132645761683327;0.5;<function softsign at 0x7ff5f5c90c80>;105;He;33.372067115896009;32.202396814767681;0.278765;0.340247;15;0.327654
1;35;0.004780995514978552;1;<function elu at 0x7ff5f5c69668>;405;Xavier;2.6751123686740277;2.8938440146140465;0.957284;0.96321;300;0.956543
2;21;0.04697016755849477;0.69999999999999996;<function elu at 0x7ff5f5c69668>;30;He;10.809796456735972;10.933114744600219;0.0;0.83679;10;0.841975
4;24;0.011498755321763643;0.5;<function softsign at 0x7ff5f5c90c80>;280;None;3.0107261382076413;2.698935984580682;0.948395;0.963704;175;0.963951
4;23;0.01948617012467662;1.0;<function selu at 0x7ff5f07b1b18>;30;Xavier;4.8994772481652404;4.3053685963214017;0.0;0.930864;10;0.934568
2;15;0.0023229596885816187;1.0;<function tanh at 0x7ff5f5b16488>;105;He;27.426375373870552;27.975297745522159;0.471358;0.529383;15;0.535556
5;20;0.005672112546921904;0.69999999999999996;<function selu at 0x7ff5f07b1b18>;220;He;2.9555462730755555;2.8760927957651417;0.0;0.967408;175;0.963951
2;49;0.030237382361314742;1.0;<function relu at 0x7ff5f5c90578>;50;None;25.223886990858535;24.298429094384037;0.0;0.519506;20;0.528642
1;92;0.03724031365043392;1;<function relu at 0x7ff5f5c90578>;120;He;15.395294383779651;15.001092273394939;0.0;0.785926;85;0.78321
1;87;0.0007491155570863775;1;<function relu at 0x7ff5f5c90578>;950;None;6.9058157457435403;7.5449776676195217;0.864938;0.878272;845;0.875803
