layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
5;18;0.04198101878812488;0.5;<function selu at 0x7f2ff5922b18>;20;He;21.580557672141701;20.862721841304605;0.0;0.709383;1;0.695309
5;18;0.024450455677543607;0.69999999999999996;<function selu at 0x7f2ff5922b18>;25;Xavier;5.8402239007674934;5.5843970146082684;0.0;0.907901;5;0.903951
1;22;4.702322905742861e-05;1;<function relu at 0x7f2ffae01578>;1000;He;16.728864282062229;16.839144125574723;0.690124;0.691605;985;0.694568
4;20;0.0004918821825492346;0.69999999999999996;<function softsign at 0x7f2ffae01c80>;105;Xavier;30.132846138390896;29.178604258978144;0.396543;0.475803;35;0.471111
3;13;0.007284193301310735;0.69999999999999996;<function elu at 0x7f2ffadda668>;125;He;30.852896696548626;30.735137572547384;0.0;0.562222;95;0.554321
2;50;0.022606872024803326;1.0;<function relu at 0x7f2ffae01578>;35;None;34.890225656548616;34.018867426093465;0.0;0.412593;5;0.406914
1;48;0.026173314438674978;1;<function softsign at 0x7f2ffae01c80>;105;Xavier;6.3174179735202491;7.3029674334022143;0.871605;0.903951;30;0.895556
4;17;0.02428205414420146;0.69999999999999996;<function relu at 0x7f2ffae01578>;60;Xavier;24.635937804132855;24.261065493653913;0.0;0.17358;10;0.172346
5;19;0.030131115846504884;0.69999999999999996;<function tanh at 0x7f2ffac87488>;300;None;19.649264192209067;20.230255116280826;0.131111;0.141728;295;0.143457
5;18;0.029573173970574355;1.0;<function selu at 0x7f2ff5922b18>;35;None;29.818104258382792;29.083254559592923;0.0;0.344444;15;0.350617
