layers;neurons;LR;dropout;act_fcn;epoch;kernel;stdDiagV;stdDiagT;fin_val_acc;best_val_acc;bestEpo;best_tst_acc
0;0;0;0;0;0;0;0;0;0;0;0;0
5;20;0.036010952734134655;0.69999999999999996;<function selu at 0x7f4edbf7cb18>;20;He;25.820762609585881;26.272393935984823;0.0;0.556543;1;0.564444
4;15;0.03376865599717355;0.69999999999999996;<function selu at 0x7f4edbf7cb18>;35;He;5.8711459808789748;6.5328126104738784;0.0;0.912099;15;0.900741
1;14;0.028770759124215794;1;<function selu at 0x7f4edbf7cb18>;105;Xavier;5.7902155879900663;6.1272389753259118;0.0;0.896543;50;0.890124
3;33;0.029524425002326063;0.5;<function selu at 0x7f4edbf7cb18>;20;None;9.0072368404903127;9.5650254539209865;0.0;0.836296;1;0.842222
2;29;0.02984192293346796;0.69999999999999996;<function elu at 0x7f4ee1434668>;25;Xavier;8.1760092320369395;8.1636216713458083;0.0;0.873087;5;0.874815
2;40;0.0018274279389771761;0.5;<function elu at 0x7f4ee1434668>;340;He;5.408027474454677;5.6549139804421671;0.0;0.909877;235;0.908148
4;25;0.02910183390877601;1.0;<function selu at 0x7f4edbf7cb18>;25;He;7.1226757814788844;8.4501460789008256;0.0;0.882222;5;0.880494
1;74;0.049154553660619334;1;<function selu at 0x7f4edbf7cb18>;15;He;18.885257457751059;18.885257457751059;0.0;0.0;15;0.0
2;33;0.03954087121353022;0.5;<function softsign at 0x7f4ee145bc80>;105;Xavier;6.9314583655910136;6.7890010295642078;0.855309;0.896543;10;0.902222
4;23;0.029647341138287313;0.5;<function selu at 0x7f4edbf7cb18>;25;None;7.5795632458014435;8.3515210760006902;0.0;0.887901;5;0.888395
5;18;0.03996591478034983;0.5;<function selu at 0x7f4edbf7cb18>;25;Xavier;20.538431305575095;20.220307722274608;0.0;0.72;1;0.724198
2;49;0.022336887824707406;0.69999999999999996;<function relu at 0x7f4ee145b578>;45;He;17.100365392898617;17.327951047863298;0.0;0.776296;25;0.781482
2;49;0.02702753327414878;0.69999999999999996;<function tanh at 0x7f4ee12e1488>;50;Xavier;6.959634963369135;7.1716388362084063;0.0;0.897284;10;0.89605
4;23;0.02363143481940057;0.69999999999999996;<function selu at 0x7f4edbf7cb18>;30;He;9.8244924723663143;9.5769371907937817;0.0;0.864691;10;0.866173
3;31;0.0058809313756752945;0.5;<function relu at 0x7f4ee145b578>;105;Xavier;34.797333847872402;34.371168573106921;0.146667;0.427654;5;0.420741
4;23;0.013554568756992458;1.0;<function elu at 0x7f4ee1434668>;40;None;13.071503262091328;12.241785067172556;0.0;0.808889;20;0.814568
